distance_m,mardepth_m,octdepth_m,width_m,habitat,octavg_depth,maravg_depth,oct_xcarea,mar_xcarea,oct_width,mar_width
1109,0.8066666666666666,0.8233333333333334,15.366666666666667,run,0.545413903693432,0.5335740072410549,7.111698230869596,6.940482346440779,13.979487688140596,13.888893592218208
1127,0.5933333333333334,0.41666666666666674,13.333333333333334,riffle,0.2565204302554331,0.3820233326506293,2.9340306508064566,4.748919025751919,11.768991747634335,12.729289164411645
1150,0.38,0.01,11.3,riffle,-0.032373043182565855,0.23047265806020362,-1.2436369292566845,2.557355705063058,9.558495807128073,11.569684736605081
1177,0.495,0.18,11.25,run,0.0883939006316796,0.312167943581605,0.5027650919172513,3.7387453076218966,10.48255558553643,12.194783998469557
1200,0.61,0.35,11.2,run,0.209160844445925,0.3938632291030063,2.249167113091187,4.920134910180735,11.406615363944784,12.819883260334032
1250,0.61,0.125,12,run,0.049322242338835476,0.3938632291030063,-0.062247326697845606,4.920134910180735,10.183595068992549,12.819883260334032
1300,0.46,0.11,12.2,run,0.03866633553169617,0.28730416103161327,-0.2163416226837811,3.379191950321381,10.102060382662401,12.004536397032544
1307,0.42,0.09,11.15,run,0.02445845978884377,0.2588884095459084,-0.4218006839983618,2.9682738276922187,9.993347467555536,11.787110566818813
1350,0.38,0.07,10.1,riffle,0.010250584045991364,0.23047265806020362,-0.6272597453129424,2.557355705063058,9.88463455244867,11.569684736605081
1400,0.405,0.185,11.3,run,0.0919458695673927,0.24823250273876918,0.5541298572458964,2.8141795317062837,10.509733814313146,11.705575880488663
1419,0.7033333333333334,0.28833333333333333,14.466666666666669,run,0.1653532275721301,0.46016664923631756,1.6156683407045633,5.878943862982113,11.07141720903195,13.327210197499404
1431,1.0016666666666667,0.39166666666666666,17.633333333333333,pool,0.23876058557686752,0.6721007957338658,2.67720682416323,8.94370819425794,11.633100603750753,14.948844514510146
1450,1.3,0.495,20.8,pool,0.312167943581605,0.8840349422314142,3.7387453076218966,12.008472525533769,12.194783998469557,16.570478831520887
1500,1.3,0.72,19.9,pool,0.47200654568869455,0.8840349422314142,6.050159747410929,12.008472525533769,13.417804293421792,16.570478831520887
1550,1.3,0.72,18.5,pool,0.47200654568869455,0.8840349422314142,6.050159747410929,12.008472525533769,13.417804293421792,16.570478831520887
1570,1.455,0.875,19,pool,0.5821175826958007,0.9941459792385203,7.642467472598929,13.60078025072177,14.260329385499997,17.413003923599092
1600,1.61,1.03,19.5,pool,0.6922286197029068,1.1042570162456267,9.23477519778693,15.193087975909771,15.102854477578205,18.255529015677297
1600,1.61,1.09,19.5,pool,0.734852246931464,1.1042570162456267,9.851152381730673,15.193087975909771,15.4289932228988,18.255529015677297
1650,0.805,0.575,13.9,run,0.36899944655301453,0.5323900175958174,4.560581552880219,6.923360757997898,12.629635658897019,13.87983418262597
1670,0.83875,0.53625,13.425,riffle,0.34147168730123806,0.5563658079118807,4.16250462158322,7.270072923966252,12.419004385877468,14.063287226868805
1682,0.8725,0.49749999999999994,12.95,run,0.3139439280494615,0.5803415982279441,3.764427690286219,7.6167850899346075,12.208373112857915,14.24674027111164
1695,0.90625,0.45875,12.475,riffle,0.286416168797685,0.6043173885440076,3.3663507589892188,7.963497255902961,11.997741839838364,14.430193315354476
1700,0.94,0.42,12,riffle,0.2588884095459084,0.628293178860071,2.9682738276922187,8.310209421871317,11.787110566818813,14.613646359597311
1700,0.94,0.42,12,riffle,0.2588884095459084,0.628293178860071,2.9682738276922187,8.310209421871317,11.787110566818813,14.613646359597311
1700,0.62,0.42,12,riffle,0.2588884095459084,0.4009671669744325,2.9682738276922187,5.022864440838026,11.787110566818813,12.874239717887466
1700,0.62,0.42,12,riffle,0.2588884095459084,0.4009671669744325,2.9682738276922187,5.022864440838026,11.787110566818813,12.874239717887466
1750,0.27,0.12,14.9,riffle,0.04577027340312237,0.15232934147451543,-0.11361209202649092,1.4273308678328644,10.156416840215833,10.971763703517324
1771,0.465,0.16249999999999998,14,run,0.07596200935668372,0.2908561299673264,0.3229884132669929,3.4305567156500256,10.387431784817922,12.03171462580926
1800,0.66,0.205,13.1,run,0.10615374531024507,0.4293829184601373,0.7595889185604772,5.4337825634671875,10.618446729420011,13.091665548101197
1848,0.505,0.1775,13,riffle,0.08661791616382303,0.31927188145303115,0.4770827092529286,3.8414748382791872,10.468966471148072,12.24914045602299
1850,0.35,0.15,12.9,riffle,0.06708208701740098,0.209160844445925,0.1945764999453803,2.249167113091187,10.31948621287613,11.406615363944784
1885,0.33999999999999997,0.135,12.25,run,0.05642618021026169,0.20205690657449882,0.040482203959444796,2.1464375824338964,10.237951526545983,11.352258906391352
1900,0.33,0.12,11.6,run,0.04577027340312237,0.19495296870307263,-0.11361209202649092,2.0437080517766066,10.156416840215833,11.297902448837918
1939,0.475,0.185,11.9,run,0.0919458695673927,0.29796006783875256,0.5541298572458964,3.5332862463073162,10.509733814313146,12.086071083362691
1950,0.62,0.25,12.2,riffle,0.138121465731663,0.4009671669744325,1.2218718065182836,5.022864440838026,10.863050788410458,12.874239717887466
2000,0.32,0.19,10,run,0.09549783850310578,0.18784903083164642,0.6054946225745417,1.9409785211193162,10.536912043089862,11.243545991284487
2008,0.355,0.28,9.45,riffle,0.15943327934594162,0.2127128133816381,1.530060398490155,2.3005318784198323,11.026120161070756,11.4337935927215
2050,0.39,0.37,8.9,riffle,0.22336872018877746,0.23757659593162983,2.4546261744057674,2.6600852357203486,11.51532827905165,11.624041194158515
2060,0.5466666666666666,0.3833333333333333,9.666666666666666,run,0.232840637350679,0.34887162258397364,2.591598881948821,4.269514549351229,11.58780355578956,12.47562569582896
2076,0.7033333333333334,0.39666666666666667,10.433333333333334,pool,0.24231255451258066,0.46016664923631756,2.7285715894918754,5.878943862982113,11.66027883252747,13.327210197499404
2100,0.86,0.41,11.2,run,0.2517844716744822,0.5714616758886613,2.865544297034929,7.488373176612994,11.732754109265379,14.178794699169849
2112,0.6799999999999999,0.29,10.733333333333333,riffle,0.1665372172173678,0.4435907942029897,1.6327899291474448,5.639241624781768,11.080476618624187,13.200378463208061
2118,0.5,0.16999999999999998,10.266666666666667,pool,0.08128996276025338,0.31571991251731807,0.40003556125996087,3.790110072950542,10.428199127982996,12.221962227246273
2150,0.32,0.05,9.8,riffle,-0.003957291696861043,0.18784903083164642,-0.8327188066275232,1.9409785211193162,9.775921637341805,11.243545991284487
